Entity,Last name,Occupation/role in history,National/Ethnic Origin,Race,"If Asian, in U.S.?",
John Hay's,Hay's,Politician,American,White,N/A,
Le Ly Hayslip,Hayslip,Author,"American, Vietnamese",Asian,Yes,
Zheng He,He,Explorer,Chinese,Asian,No,
Henry,Henry,N/A,N/A,N/A,N/A,
Seymour Hersh,Hersh,Journalist,American,White,N/A,
Tojo Hideki,Hideki,Politician,Japanese,Asian,No,
Kinzo Hirai,Hirai,Religious leader,Japanese,Asian,Yes,
Hirohito,Hirohito,"Politician, Emperor",Japanese,Asian,No,
Hirol,Hirol,Politician,Japanese,Asian,No,
hitler,hitler,Politician,German,White,N/A,
Adolf Hitler,Hitler,Politician,German,White,N/A,
Hitler,Hitler,Politician,German,White,N/A,
Ho,Ho,Politician,Vietnamese,Asian,No,
Uncle Ho's,Ho's,Politician,Vietnamese,Asian,No,
George Hoar,Hoar,Politician,American,White,N/A,
Hoar,Hoar,Politician,American,White,N/A,
J. Edgar Hoover,Hoover,"Politician, Government",American,White,N/A,
Hoover,Hoover,Politician,American,White,N/A,
Hopkins,Hopkins,Government,American,White,N/A,
Pang Houa,Houa,Refugee,Hmong,Asian,Yes,
Pang Houa's,Houa's,Refugee,Hmong,Asian,Yes,
Charles Christensen,hristensen,Military,American,White,N/A,
Huerta,Huerta,Activist,American,Hispanic / White,N/A,
Dolores Huerta,Huerta,Activist,American,Hispanic / White,N/A,
Hull,Hull,Politician,American,White,N/A,
Cordell Hull,Hull,Politician,American,White,N/A,
Humphrey,Humphrey,Politician,American,White,N/A,
Hurley,Hurley,"School principal, defendant",American,White,N/A,
Saddam Hussein,Hussein,Politician,Iraqi,Arab,N/A,
David Hwang,Hwang,Playwrite,"American, Chinese",Asian,Yes,
War II,II,N/A,N/A,N/A,N/A,
Kim Il-Sung,Il-Sung,Politician,Korean,Asian,No,
Daniel Inouye,Inouye,Politician,"American, Japanese",Asian,Yes,
Daniel K. Inouye,Inouye,Politician,"American, Japanese",Asian,Yes,
Daniel K Inouye,Inouye,Politician,"American, Japanese",Asian,Yes,
Henry Kissinger's,issinger's,Politician,American,White,N/A,
Larry Itliong,Itliong,Activist,"American, Filipino",Asian,Yes,
Jack,Jack,Military,"Japanese, American",Asian,Yes,
Jesse Jackson,Jackson,Activist,American,"White, Black, Native/Indigenous",N/A,
Jen,Jen,Author,American,Asian,Yes,
John Jeong,Jeong,Immigrant,Chinese,Asian,Yes,
JFK,JFK,Politician,American,White,N/A,
Jgf,Jgf,N/A,N/A,N/A,N/A,
Jiang,Jiang,Politician,Taiwanese,Asian,No,
Chiang Kai-shek Qiang Jieshi,Jieshi,Politician,Taiwanese,Asian,No,
Jiang Jieshi,Jieshi,Politician,Taiwanese,Asian,No,
Lyndon Johnson,Johnson,Politician,American,White,N/A,
Albert Johnson,Johnson,Politician,American,White,N/A,
Johnson,Johnson,Politician,American,White,N/A,
Lyndon B. Johnson,Johnson,Politician,American,White,N/A,
Johnson Johnson,Johnson,Politician,American,White,N/A,
Lyndon Johnson's,Johnson's,Politician,American,White,N/A,
Mark Twain‚Äî joined,joined,Author,American,White,N/A,
James Jones’,Jones’,"Author, Military",American,White,N/A,
"Martin Luther King, Jr.",Jr.,Activist,American,Black,N/A,
"William L Calley, Jr.",Jr.,Military,American,White,N/A,
Chiang Kai-shek,Kai-shek,Politician,Taiwanese,Asian,No,
Chiang ­Kai-shek,­Kai-shek,Politician,Taiwanese,Asian,No,
Chiang Kai-shek's,Kai-shek's,Politician,Taiwanese,Asian,No,
Dennis Kearney,Kearney,Social leader,Irish,White,N/A,
Denis Kearney,Kearney,Social leader,Irish,White,N/A,
Robert F. Kennedy,Kennedy,Politician,American,White,N/A,
John Kennedy,Kennedy,Politician,American,White,N/A,
Robert Kennedy,Kennedy,Politician,American,White,N/A,
John F. Kennedy,Kennedy,Politician,American,White,N/A,
Kennedy,Kennedy,Politician,American,White,N/A,
John Kennedy's,Kennedy's,Politician,American,White,N/A,
King,King,Activist,American,Black,N/A,
Ernest King,King,Military,American,White,N/A,
Martin Luther King,King,Activist,American,Black,N/A,
Maxine Hong Kingston,Kingston,Author,"American, Chinese",Asian,Yes,
Rudyard Kipling,Kipling,Author,British,White,N/A,
Kissinger,Kissinger,Politician,American,White,N/A,
Henry Kissinger,Kissinger,Politician,American,White,N/A,
Kobayakawa Kiyoshi,Kiyoshi,Artist,Japanese,Asian,No,
Knowland,Knowland,Politician,American,White,N/A,
Frank Knox,Knox,Politician,American,White,N/A,
Konoye,Konoye,Politician,Japanese,Asian,No,
Fumimaro Konoye,Konoye,Politician,Japanese,Asian,No,
V.K. Wellington Koo,Koo,Politician,Chinese,Asian,No,
Korematsu,Korematsu,Activist,"Japanese, American",Asian,Yes,
V Fred Korematsu,Korematsu,Activist,"Japanese, American",Asian,Yes,
Fred Korematsu,Korematsu,Activist,"Japanese, American",Asian,Yes,
Fred Korematsuv,Korematsuv,Activist,"Japanese, American",Asian,Yes,
Ky,Ky,Politician,Vietnamese,Asian,No,
bin Laden,Laden,Military,Saudi,Arab,N/A,
My Lai,Lai,N/A,N/A,N/A,N/A,
Dorothea Lange,Lange,Photographer,American,White,N/A,
Dorothea Lange's,Lange's,Photographer,American,White,N/A,
Lawson,Lawson,Activist,American,Black,N/A,
Marion Lawton,Lawton,Military,American,White,N/A,
William D. Leahy,Leahy,Military,American,White,N/A,
Lee,Lee,Military,American,White,N/A,
Curtis Lemay,Lemay,Military,American,White,N/A,
Curtis LeMay,LeMay,Military,American,White,N/A,
LeMay,LeMay,Military,American,White,N/A,
Juan Ponce de León,León,Explorer,Spanish,White,N/A,
Zhuge Liang,Liang,Politician,Chinese,Asian,No,
Liberty,Liberty,N/A,N/A,N/A,N/A,
Maya Ying Lin,Lin,Artist,"American, Chinese",Asian,Yes,
Lincoln,Lincoln,Politician,American,White,N/A,
Abraham Lincoln,Lincoln,Politician,American,White,N/A,
Nguyen Ngoc Loan,Loan,Military,Vietnamese,Asian,No,
Lodge,Lodge,Politician,American,White,N/A,
Henry Cabot Lodge,Lodge,Politician,American,White,N/A,
Sixto Lopez,Lopez,Politician,Filipino,Asian,No,
Duarte Lopez,Lopez,Businessman,Portoguese,White,N/A,
Nat Love,Love,Cowboy,American,Black,N/A,
Martin Luther,Luther,Activist,American,Black,N/A,
Ho Chi M,M,Politician,Vietnamese,Asian,No,
MacArthur,MacArthur,Military,American,White,N/A,
Arthur MacArthur,MacArthur,Military,American,White,N/A,
Douglas MacArthur,MacArthur,Military,American,White,N/A,
MacArtlrnr,MacArtlrnr,Military,American,White,N/A,
Madison,Madison,Politician,American,White,N/A,
James Madison's,Madison's,Politician,American,White,N/A,
Norman Mailer’s,Mailer’s,Author,American,White,N/A,
Michelle Malkin,Malkin,Journalist,Filipino,Asian,Yes,
Manchu,Manchu,N/A,N/A,N/A,N/A,
Mao,Mao,Politician,Chinese,Asian,No,
Joe Marm,Marm,Military,American,White,N/A,
Thurgood Marshall,Marshall,Judge,American,Black,N/A,
Marshall,Marshall,Judge,American,Black,N/A,
Matsunaga,Matsunaga,Politician,"Japanese, American",Asian,Yes,
John McCain,McCain,Politician,American,White,N/A,
McCarthy,McCarthy,Politician,American,White,N/A,
George McGovern,McGovern,Politician,American,White,N/A,
McKinley,McKinley,Politician,American,White,N/A,
William McKinley,McKinley,Politician,American,White,N/A,
Robert McNamara,McNamara,Politician,American,White,N/A,
Paul Meadlo,Meadlo,Military,American,White,N/A,
Soong Meiling,Meiling,Politician,Taiwanese,Asian,No,
Soong Meiling's,Meiling's,Politician,Taiwanese,Asian,No,
HOH CHEE MIHN,MIHN,N/A,N/A,N/A,N/A,
Miller,Miller,N/A,N/A,N/A,N/A,
A View of Chinese Miners,Miners,N/A,N/A,N/A,N/A,
Norman Y. Mineta,Mineta,Politician,"Japanese, American",Asian,Yes,
Chi Minh,Minh,Politician,Vietnamese,Asian,No,
Ho Chi Minh,Minh,Politician,Vietnamese,Asian,No,
Ho Chi Minh's,Minh's,Politician,Vietnamese,Asian,No,
Chi Minh's,Minh's,Politician,Vietnamese,Asian,No,
Patsy Mink,Mink,Politician,"American, Japanese",Asian,Yes,
Patsy Takemoto Mink,Mink,Politician,"American, Japanese",Asian,Yes,
Ho Chi Mirth's,Mirth's,Politician,Vietnamese,Asian,No,
Lowe Shee Miu,Miu,Immigrant,Chinese,Asian,Yes,
Toyo Miyatake,Miyatake,Photographer,"Japanese, American",Asian,Yes,
Miyatake,Miyatake,Photographer,"Japanese, American",Asian,Yes,
Mochidas,Mochidas,Internee,"Japanese, American",Asian,Yes,
Khalid Shaikh Mohammed,Mohammed,Military,Pakistani,Arab,N/A,
Heng Mui,Mui,Refugee,"Vietnamese, American",Asian,Yes,
Murphy,Murphy,Politician,American,White,N/A,
Mansa Musa’s,Musa’s,Politician,Mali,Black,N/A,
Mussolini,Mussolini,Politician,Italian,White,N/A,
Carl Mydans,Mydans,Photographer,American,White,N/A,
nguyen,nguyen,Politician,Vietnamese,Asian,No,
Ngo Dinh Nhu,Nhu,Politician,Vietnamese,Asian,No,
Nimitz,Nimitz,Military,American,White,N/A,
Chester Nimitz,Nimitz,Military,American,White,N/A,
Nisei Nisei,Nisei,N/A,N/A,N/A,N/A,
Richard Nixon,Nixon,Politician,American,White,N/A,
Nixon,Nixon,Politician,American,White,N/A,
Obama,Obama,Politician,American,Black,N/A,
John D. Rockefeller,ockefeller,Businessman,American,White,N/A,
Mine Okubo,Okubo,Author,"American, Japanese",Asian,Yes,
Constantine,onstantine,"Politician, Emperor",Roman,White,N/A,
James Doolittle's,oolittle's,Military,American,White,N/A,
Theodore Roosevelt's,oosevelt's,Politician,American,White,N/A,
Franklin Roosevelt's,oosevelt's,Politician,American,White,N/A,
Franklin D. Roosevelt's,oosevelt's,Politician,American,White,N/A,
Theodore Roosevelt’s,oosevelt’s,Politician,American,White,N/A,
Teddy Roosevelt’s,oosevelt’s,Politician,American,White,N/A,
Fred Korematsu's,orematsu's,Activist,"American, Japanese",Asian,Yes,
Peter Ota,Ota,Incarcerated person,"American, Japanese",Asian,Yes,
Elwell S. Otis,Otis,Military,American,White,N/A,
Takao Ozawa,Ozawa,Plaintiff,"American, Japanese",Asian,Yes,
Horace Page,Page,Politician,American,White,N/A,
Aaron H. Palmer,Palmer,Politician,American,White,N/A,
No-Yong Park,Park,Writer,Korean,Asian,Yes,
Patterson,Patterson,N/A,N/A,N/A,N/A,
Pegler,Pegler,"Journalist, Writer",American,White,N/A,
Matthew C. Perry,Perry,Military,American,White,N/A,
Perry,Perry,Military,American,White,N/A,
Mathew Perry,Perry,Military,American,White,N/A,
Matthew Perry,Perry,Military,American,White,N/A,
John J. Pershing,Pershing,Military,American,White,N/A,
James D. Phelan,Phelan,Politician,American,White,N/A,
Francisco Pizarro,Pizarro,Explorer,Spanish,White,N/A,
Marco Polo,Polo,Explorer,Italian,White,N/A,
Pol Pot,Pot,Politician,Cambodian,Asian,No,
Puccini,Puccini,Composer,Italian,White,N/A,
Ernie Pyle,Pyle,Journalist,American,White,N/A,
A Philip Randolph,Randolph,Activist,American,Black,N/A,
George Ray,Ray,Military,American,White,N/A,
Ronald Reagan,Reagan,Politician,American,White,N/A,
Reagan,Reagan,Politician,American,White,N/A,
